S.No,Name,CMP (Rs.),P/E,Mar Cap (Rs. Cr.),Div Yld (%),NP Qtr (Rs. Cr.),Qtr Profit Var (%),Sales Qtr (Rs. Cr.),Qtr Sales Var (%),ROCE (%)
53.,Adani Green,1042.30,128.06,165103.74,0.00,515.00,-15.03,3055.00,37.61,9.65
54.,Divi's Lab.,6087.70,88.00,161609.29,0.49,510.00,46.55,2338.00,22.47,16.48
55.,Power Fin.Corpn.,466.55,7.20,153966.26,2.80,7214.90,9.71,25721.79,14.88,9.85
56.,Pidilite Inds.,2933.95,76.11,149234.20,0.55,540.30,18.75,3234.91,5.16,29.74
57.,Hyundai Motor I,1833.00,25.05,148938.82,0.00,1337.79,-16.51,16876.17,-8.33,51.41
58.,Eicher Motors,5317.15,34.12,145760.37,0.97,1100.33,8.27,4263.07,3.61,31.14
59.,SBI Life Insuran,1442.45,66.22,144546.25,0.19,529.42,39.25,40301.73,39.91,13.23
60.,A B B,6812.00,85.50,144352.04,0.35,440.45,21.68,2912.16,5.16,30.69
61.,REC Ltd,539.80,9.60,142141.35,2.90,4037.72,6.54,13682.43,17.06,10.05
62.,Macrotech Devel.,1407.30,65.30,140298.88,0.16,423.10,109.46,2625.70,50.07,11.06
63.,Ambuja Cements,548.30,45.96,135053.05,0.36,472.89,-29.90,7516.11,1.24,12.84
64.,HDFC Life Insur.,621.65,79.01,133829.01,0.32,435.18,15.07,28496.97,23.14,6.61
65.,Hindalco Inds.,593.20,10.20,133305.51,0.58,3909.00,96.22,58203.00,7.45,11.29
66.,Bajaj Holdings,11760.20,17.65,130879.26,1.10,1510.43,-3.67,279.07,24.18,13.07
67.,B P C L,297.15,9.62,128918.74,7.08,2297.23,-71.62,102785.27,-0.25,32.09
68.,Tata Power Co.,397.40,33.47,126982.82,0.50,1093.08,14.18,15697.67,-0.26,11.13
69.,GAIL (India),191.60,10.84,125978.96,2.84,2689.67,10.13,33888.90,2.74,14.66
70.,Bank of Baroda,241.80,6.20,125043.53,3.09,5404.97,21.86,31886.92,8.97,6.33
71.,Indian Hotels Co,872.00,86.76,124123.27,0.20,582.71,87.82,1826.12,27.42,15.11
72.,United Spirits,1686.25,85.34,122649.55,0.53,341.00,8.10,2844.00,-0.87,27.87
73.,Punjab Natl.Bank,106.45,8.52,122342.44,1.40,4739.04,136.90,30447.42,13.37,5.46
